序号,问题现象,问题描述,结论,解决办法,原始网站,备注
0,某局点无线控制器进行本地Portal认证时，部分无线终端接入后并没有弹出正常的认证页面，而是直接弹出认证成功的页面。用户必须点击“logoff”后，才可以跳转到正常的认证页面。,"1.重现情况：部分终端接入后出现此现象，新接入的终端也会遇到相同问题。2.临时解决：重新导入内置的Portal认证页面文件后，该现象会暂时消失，但使用一段时间后会再次出现。3.设备配置：-Portal服务器配置：`ip172.22.63.252`,`server-typeimc`-本地Portal服务器配置：`http`,`fileAAA_portal.zip`-绑定SSID：`CMI-Partner`,`CMI-Guest`-无线服务模板配置：`service-template602`,`ssidAAA-Guest`-接口配置：`Vlan-interface602`,`ipaddress172.22.63.252255.255.254.0`-VRRP配置：`vrrpvrid3virtual-ip172.22.63.254`,`priority105`-Portal服务器方法：`direct`-Portal域名：`system`-无线接口安全配置：`port-security`,`preshared-key`",1.分析过程：-通过抓包和debug分析，设备推送Portal页面的过程没有问题。-客户未配置闲置切断时间（`idle-cut`），导致用户长时间不活动时，终端的Portal表项仍然存在。-实验室复现发现，当设备上存在相应IP地址的Portal表项时，终端接入后会直接弹出认证成功页面，即使该终端是新接入的。2.问题原因：设备上存在相应IP地址的Portal表项，导致新接入的终端被误认为已经认证成功。,1.配置闲置切断时间：在无线设备上配置`idle-cut`时间，当用户空闲一段时间不上网时，设备会自动删除Portal表项，从而避免新接入的终端误认为已经认证成功的问题。2.检查设备配置：建议在遇到Portal问题时，仔细检查设备的配置，特别是在简单组网下，Portal功能通常比较稳定，软件问题较少。通过以上配置和检查，可以有效解决部分终端接入后直接弹出认证成功页面的问题。,https://zhiliao.h3c.com/Theme/details/38023,
1,某局点使用WBC560设备，设备版本为R5435P02。从WBC监控平台无法进入XAC。,1.尝试从WBC的Linux命令行跳转XAC，显示XAC未启动的报错信息。2.经确认，从5435P02版本开始，WBC560、WBC580、WBC580G2BASE和WBC580G2HOSP默认不启动XAC；而从5439P01版本开始，WBC580G2BASE和WBC580G2HOSP默认启动XAC，但WBC560和WBC580仍然保持默认不启动XAC的状态。,该问题的原因是WBC560设备在R5435P02版本及之后的版本中，默认不启动XAC。,1.当XAC默认不启动时，可以按以下步骤手动启动XAC：-进入WBC的监控平台页面。-进入AC的管理页面。-点击“开启设备”以启动XAC。-点击之后，可以看到AC控制台，显示XAC正在启动。2.如需长期使用XAC功能，建议将设备升级到5439P01或更高版本，以享受更完善的默认配置和支持。,https://zhiliao.h3c.com/Theme/details/192090,
2,在某局点使用WX3540X结合EWPM1WBCE0ENT访客认证的过程中，出现了以下问题：1.访客审批人无法添加。2.访客二维码无法弹出。3.审批人无法审批访客二维码。,1.设备和版本的配套关系：-WX3540X需要使用WBCE0ENT插卡，而非WBCD0ENT。-对于WX3500X-CMW910-E1203及以上版本，需要使用WBCE0ENT-CMW710-E5458P03及以上版本。2.增加访客认证审批人的注意事项：-审批人需要先接入WBC系列无线控制器所管理的AC设备上的无线服务。-增加审批人阶段显示的二维码有效期为5分钟，超时需点击二维码进行刷新。-删除审批人则绿洲平台自动取消对该审批人的授权。-AC和WBC插卡需要能够访问外网，认证审批人需要能够将oasisauth.h3c.com解析为本地WBC地址而非公网的服务器地址。3.访客认证二维码异常的处理思路：-确认重定向是否异常。-现场重定向正常，但认证页面异常，页面上报“由于商户配置原因，导致联网失败，请联系商户进行修复”。-对比正常和异常认证的页面URL，发现异常URL中的`response_type`无法识别（errorCode60019），以及商户找不到（errorCode60017）。-认证页面由WBC插卡推送给终端，因此终端需要能够正确解析oasisauth.h3c.com为本地WBC地址，并能够访问该地址。4.审批人审批访客的注意事项：-审批人授权访客终端时，访客终端上显示的二维码有效期为5分钟，超时需点击二维码进行刷新。-审批人审批访客时需要能够正确解析oasisauth.h3c.com为本地WBC地址，并能够访问该地址，审批人不需要访问外网。,问题主要出在DNS解析配置上。由于AC上未配置DNS代理，导致认证审批人和访客无线终端无法正确解析oasisauth.h3c.com为本地WBC地址，从而无法完成访客认证流程。,1.修改DNS解析配置：-在AC上配置`iphostoasisauth.h3c.comx.x.x.x`（x.x.x.x为本地WBC地址）。-配置DNS代理，确保AC能够正确解析域名。-配置DNS服务器，并在DHCP池中将AC地址添加到`dns-list`中。2.确保网络连通性：-确认AC和WBC插卡能够访问外网。-确认审批人和访客无线终端能够访问本地WBC地址。通过上述配置修改，问题得以解决，访客认证流程恢复正常。,https://zhiliao.h3c.com/Theme/details/215978,
3,苹果终端在使用v5的AC结合IMC进行微信连WiFi认证时，无法自动拉起微信认证界面，而安卓终端则无此问题。,现场使用v5的AC结合IMC（临时账户的方式）进行微信连WiFi认证时，发现苹果终端在自动弹窗后无法拉起微信，但手动在浏览器中触发重定向可以完成认证。进一步检查发现，配置中缺少针对苹果终端的优化命令，同时测试苹果终端的浏览器设置中“阻止弹出式窗口”功能开启，且高级选项中的JavaScript关闭，这些设置阻止了微信认证界面的弹出。,问题主要是由于配置中缺少针对苹果终端的优化命令，以及苹果终端浏览器的设置不当导致的。配置上的优化不足和浏览器设置阻止了自动拉起微信认证界面的过程。,1.在v5的AC上配置`portalsilentiosoptimize`和`portalsilentiosuser-agentCaptiveNetworkSupport`两条优化命令，以放通苹果终端的嗅探报文。2.修改苹果终端浏览器设置，关闭“阻止弹出式窗口”功能，并开启JavaScript。配置上述优化命令并调整终端设置后，苹果终端能够正常自动拉起微信认证界面，问题得到解决。,https://zhiliao.h3c.com/Theme/details/56101,
4,钢铁化工行业在进行无线网络覆盖时面临多方面的挑战，包括办公和生活区域的网络需求、生产车间的恶劣环境、园区的大规模全覆盖需求以及化工厂的特殊安全管控要求。具体问题包括：办公和生活区域用户密度高，需要高品质的无线网络接入服务。生产车间温度高、湿度过大、辐射强、腐蚀性物质多、噪音大，可能导致无线设备损坏或信号干扰。钢铁工业园区面积大，人员活动范围广，需要综合考虑多种无线应用。化工厂由于原料特性，空气内可燃性分子浓度可能超标，对无线电磁波的吸收作用不同，存在安全风险。,1.普通大厦办公无线接入：-用户密度高，需要高品质的无线接入服务。-需要合理设计认证安全机制，确保网络的安全性。-AP数量规划需满足不同用户密度的带宽需求。2.钢铁化工生产车间：-环境恶劣，温度高、湿度大、辐射强、腐蚀性物质多、噪音大。-可能存在无线干扰，影响信号传输。-需要选择增强型AP，并考虑制作专门的机柜或机箱安放设备。3.钢铁工业园区：-区域面积大，人员活动范围广。-需要进行大规模全覆盖，支持多种无线应用，如无线定位、无线监控、无线通信等。-生活区无线终端接入密度大，需要在信号强度和质量上提高要求。4.化工厂：-原料为液态，生产环境以管道架构为主，危险度高，安全管控严格。-空气内可燃性分子浓度可能超标，对不同频段的无线电磁波有吸收作用。-需要遵守企业规章制度和无委会管控要求，同时考虑化工行业的安全管理准则。,钢铁化工行业在无线网络覆盖方面需要综合考虑多种因素，包括环境条件、用户需求、安全管控等。不同的功能区域有不同的无线覆盖需求和挑战，需要灵活选择和部署无线设备，以确保网络的稳定性和安全性。,1.普通大厦办公无线接入：-选择高品质的智能AP、X分式AP和插座式AP。-重点关注信号良好覆盖，合理设计认证安全机制。-根据目标区域的用户密度，针对性规划AP数量，确保带宽需求。2.钢铁化工生产车间：-选择增强型AP，具备良好的环境适应性。-制作专门的机柜或机箱安放AP，以屏蔽外在环境影响。-安装位置应远离高温、腐蚀性物质等危险区域。-采用定向天线进行特定区域覆盖，确保信号稳定。3.钢铁工业园区：-进行大规模全覆盖，支持多种无线应用。-生活区采用室内部署策略，室外采用定向天线聚焦覆盖。-提高信号强度和质量要求，确保手机等终端设备的接入体验。4.化工厂：-选择适合化工环境的无线设备，考虑空气中的可燃性分子对无线信号的影响。-采用Mesh链路进行孤立信息点连接和数据采集点信息回传。-遵守企业规章制度和无委会管控要求，确保符合化工行业的安全管理准则。-实施无线监控、无线语音通信、人员和资产定位、无线上网以及环境监测等应用，提升安全管控水平。,https://zhiliao.h3c.com/Theme/details/3128,
5,某局点AC组网由IRF更改为双链路备份后，网管服务器上频繁出现“备AC设置某AP信道失败”的告警。,1.组网变更：该局点的AC组网模式从IRF（IntelligentResilientFramework）变更为双链路备份。2.告警来源：告警信息均来自备AC。3.告警内容：告警涉及的AP信道均为雷达信道。,故障的原因在于主备AC对于雷达信道的规避策略不一致。具体来说，当需要执行雷达信道规避动作时，主AC能够正常下发配置，而备AC由于策略限制，下发配置失败，从而触发告警。,将AP设置为非雷达信道，可以解决备AC设置信道失败的告警问题。希望上述总结对您有所帮助。如果您有任何进一步的问题或需要更多详细信息，请随时告知。,https://zhiliao.h3c.com/Theme/details/101510,
6,在某局点采用本地转发模式下，虽然开启了基于VLAN的用户二层隔离，但部分AP下的终端仍能实现VLAN内的二层互访。具体表现为：AP1下的终端与AP2下的终端不能互访（二层隔离生效）。AP1下的终端与AP3下的终端可以互访（二层隔离不生效）。,客户反馈在WX系列AC控制器和fit系列AP（具体型号为WA6528）组成的无线网络中，尽管已配置基于VLAN的用户二层隔离，但部分终端之间仍能实现二层互访，怀疑二层隔离配置存在问题。,通过诊断和抓包分析，发现终端能够互访的原因是核心交换机上开启了ARP代理功能。ARP代理功能导致了终端间的二层互访，即使在VLAN内配置了用户隔离。具体分析步骤如下：1.检查AC侧的基本配置，确认VLAN内的用户隔离配置已下发到AP。2.通过抓取可以互访的终端间的空口报文，发现源地址被更改为网关地址。3.确认核心交换机（华为交换机）上开启了ARP代理功能，导致二层隔离不生效。,建议客户删除网关设备（核心交换机）上的ARP代理功能配置。删除配置后，二层隔离功能恢复正常，终端间无法互访。,https://zhiliao.h3c.com/Theme/details/55828,
7,客户现场配置了WX3520H无线控制器的Portal无感知认证，但终端在断开无线连接或重新连接时仍需要重新进行认证，无感知认证功能未正常生效。,"组网：无线控制器型号为WX3520H，版本为7.1.064,Release5117P14。Portal服务器、认证服务器和MAC绑定服务器均为IMC服务器。配置：-Portal部分配置：```plaintextportalhost-checkenableportalfree-rule5source-ipanydestination-ip10.20.61.254255.255.255.255portalfree-rule10source-ipanydestination-ip10.20.100.1255.255.255.255portalfree-rule20source-ipanydestination-ip10.20.100.2255.255.255.255portalweb-serverimcurlhttp://10.20.100.1:8080/portalserver-typecmccportalserverimcip10.20.100.1server-typecmccportalmac-trigger-servermtsip10.20.100.1server-typecmcc```-无线服务模板配置：```plaintextwlanservice-template5ssidUL-Teacherportalenablemethoddirectportaldomainteacherportalapplyweb-serverimcportalapplymac-trigger-servermtsservice-templateenable```分析：通过配置检查未发现明显问题，进一步使用debug工具分析portal报文，发现AC向MAC绑定服务器发送查询报文，但服务器回应未找到绑定表项，导致终端需要重新认证。",问题的根本原因在于IMC服务器侧配置不当，导致MAC绑定服务器上没有保存终端的认证信息，从而无法实现Portal无感知认证。,1.检查配置：确保无线控制器（AC）的Portal服务器、认证服务器和MAC绑定服务器的配置正确无误。2.使用debug工具：如果AC侧配置没有问题，可以通过抓包和debug工具分析Portal报文，确定问题的具体环节。3.检查IMC服务器配置：本案例中问题最终在IMC服务器侧，建议在遇到类似问题时，不仅要检查AC侧配置，还需要检查IMC服务器侧的配置。4.与IMC工程师协作：如果自己不熟悉IMC服务器的配置，可以寻求IMC工程师的帮助，共同排查问题。通过以上步骤，可以有效定位并解决Portal无感知认证不生效的问题。,https://zhiliao.h3c.com/Theme/details/8285,
8,在某地铁局点的巡检过程中，发现车载AP与站台交换机之间的通信存在严重的丢包现象。具体表现为：当车载APping站台交换机时，通信正常，没有丢包；但当站台交换机ping车载AP时，丢包率高达97%。,现网业务主要涉及监控等数据向地面上传，尽管存在严重的丢包现象，但业务并未受到影响。进一步检查发现，车载AP上未配置MLSP（MeshLinkSwitchingProtocol）命令，导致链路切换后，车载AP无法及时更新ARP表项，从而使站台交换机ping车载AP时出现严重丢包。,车载AP未配置MLSP命令是导致站台交换机ping车载AP时严重丢包的主要原因。MLSP协议的代理功能未启用，使得车载AP在mesh链路切换时无法及时更新对端设备的ARP表项，导致通信中断和丢包。,1.使能MLSP协议：在AC（AccessController）上启用MLSP协议。```shell[AC]wlanmp-policysys_mp[AC-wlan-mp-policy-sys_mp]mlspenable```2.配置MLSP代理功能：配置MLSP代理功能，携带本地PC的MAC地址，以便在链路切换过程中及时更新ARP表项。```shell[AC-wlan-mp-policy-sys_mp]mlspproxymac-address000f-e287-8700```通过上述配置，可以有效地减少链路切换过程中因ARP表项未及时更新而导致的丢包现象。,https://zhiliao.h3c.com/Theme/details/24946,
9,某局点使用H3CWX5540H无线控制器结合iMC平台进行远程Portal认证时，无线客户端在输入用户名和密码后提示“设备拒绝请求”。,"组网及说明：无线控制器WX5540H采用本地转发模式，旁挂于核心交换机。无线客户端能够ping通iMC服务器，并能够成功重定向到Portal认证页面，但在输入用户名和密码后提示“设备拒绝请求”。现场测试：现场工程师使用不同终端进行测试，报错信息一致。设备配置：无线服务模板配置如下：```plaintext#wlanservice-templatewaiwangssidYDYYclient-forwarding-locationapvlan3900user-isolationenableportalenablemethoddirectportal-domainwportal-base-ipx.x.x.xportal-applyweb-servernewstservice-templateenable```调试信息：```plaintext*Mar509:49:09:6442019ACPORTAL/7/ERROR:Portalisdisabledontheinterface.*Mar509:49:09:6442019ACPORTAL/7/PACKET:Portalsent38bytesofpacket:Type=ack_challenge(2),ErrCode=1,IP=x.x.x.x```",问题的根本原因在于无线控制器WX5540H上的Portal服务在接口上未启用，导致客户端的认证请求被拒绝。,1.配置业务VLAN虚接口地址：在AC上配置与终端同一业务VLAN的虚接口地址，确保AC能够正确处理终端的认证请求。2.开启无线客户端合法性检查：在AC上启用无线客户端的合法性检查功能，以增强认证过程的安全性。```plaintext[H3C]portalhost-checkenable```通过以上配置，可以解决无线客户端在输入用户名和密码后提示“设备拒绝请求”的问题，确保远程Portal认证正常进行。,https://zhiliao.h3c.com/Theme/details/55245,
